MODEL_MAIN_DEVICE CODE,VERSION_NUMBER_MAIN_DEVICE,NETWORK,AUTO or MANUAL,MANUFACTURER,ANCILLARY_DEVICE_MODEL CODE,ANCILLARY_DEVICE_VERSION
3 - LM-4A Thru-Hull,,SOOP,,"""""",,
Beam Trawler Probes,,OT,,"""""",,
MILOS 500 - DWDGFSF,2.44;2.46;2.51;2.56,VOS,AUTO,"""VAISALA""",,
Sippican LMC-16 DAQ,,SOOP,,"""SIPPICAN""",AOML XBT V6 Autolauncher;AOML XBT V8.0 Autolauncher;AOML XBT V8.1 Autolauncher;AXIS_Autolauncher;LM-2A Deck-mounted;LM-3A Hand-Held;LM-4A Thru-Hull;MFSTEP Autolauncher;SIO XBT Autolauncher,
Sippican LMR-16 DAQ,,SOOP,,"""""",AOML XBT V6 Autolauncher;AOML XBT V8.0 Autolauncher;AOML XBT V8.1 Autolauncher;AXIS_Autolauncher;LM-2A Deck-mounted;LM-3A Hand-Held;LM-4A Thru-Hull;MFSTEP Autolauncher;SIO XBT Autolauncher,
MILOS 500 - YOURLINK,2.56,VOS,AUTO,"""VAISALA""",,
Bottom Trawler Probes,,OT,,"""""",,
MET SERVICE NZ SYSTEM,,VOS,AUTO,"""Sutron Corporation""",,
METOCEAN DECK DRIFTER,,VOS,AUTO,"""METOCEAN Data Systems""",,
MetOcean Deck Drifter,,VOS,AUTO,"""METOCEAN Data Systems""",,
Sippican MK21 USB DAQ,,SOOP,,"""SIPPICAN""",AOML XBT V6 Autolauncher;AOML XBT V8.0 Autolauncher;AOML XBT V8.1 Autolauncher;AXIS_Autolauncher;LM-2A Deck-mounted;LM-3A Hand-Held;LM-4A Thru-Hull;MFSTEP Autolauncher;SIO XBT Autolauncher,
1 - LM-2A Deck-mounted,,SOOP,,"""""",,
NOAA_AOML_Autolauncher,,SOOP,,"""""",,
Generic Underway System,,OT,,"""""",,
DIS - Free hand launches,,ASAP,,"""""",,
100 - MFSTEP Autolauncher,,SOOP,,"""""",,
20 - SIO XBT Autolauncher,,SOOP,,"""""",,
4 - AL-12 TSK Autolauncher,,SOOP,,"""""",,
Sippican MK21 Ethernet DAQ,,SOOP,,"""SIPPICAN""",AOML XBT V6 Autolauncher;AOML XBT V8.0 Autolauncher;AOML XBT V8.1 Autolauncher;AXIS_Autolauncher;LM-2A Deck-mounted;LM-3A Hand-Held;LM-4A Thru-Hull;MFSTEP Autolauncher;SIO XBT Autolauncher,
Set Gillnet/Fyke Net Probes,,OT,,"""""",,
GENERIC_FISHING_VESSEL_PROBE,,OT,,"""""",,
30 - AOML XBT V6 Autolauncher,,SOOP,,"""""",,
90 - CSIRO Devil Autolauncher,,SOOP,,"""""",,
SBE 48 Hull Temperature Sensor,,TSG,,"""Sea-Bird Electronics, Inc.""",Amverseas,10.0;9.0;9.1;9.2;9.3
31 - AOML XBT V8.0 Autolauncher,,SOOP,,"""""",,
32 - AOML XBT V8.1 Autolauncher,,SOOP,,"""""",,
SBE 21 SeaCAT Thermosalinograph,,TSG,,"""Sea-Bird Electronics, Inc.""",Amverseas,10.0;9.0;9.1;9.2;9.3
DIS - Fixed manual deck launcher,,ASAP,,"""""",,
INT - Fixed manual deck launcher,,ASAP,,"""""",,
SBE 45 Micro TSG Thermosalinograph,,TSG,,"""Sea-Bird Electronics, Inc.""",Amverseas,10.0;9.0;9.1;9.2;9.3
DIS - Portable manual deck launcher,,ASAP,,"""""",,
INT - Portable manual deck launcher,,ASAP,,"""""",,
DIS - Built-in semi automatic launcher,,ASAP,,"""""",,
INT - Built-in semi automatic launcher,,ASAP,,"""""",,
SBE 38 Digital Oceanographic Thermometer,,TSG,,"""Sea-Bird Electronics, Inc.""",Amverseas,10.0;9.0;9.1;9.2;9.3
DIS - Semi automatic 10ft container launcher,,ASAP,,"""""",,
DIS - Semi automatic 20ft container launcher,,ASAP,,"""""",,
INT - Semi automatic 10ft container launcher,,ASAP,,"""""",,
INT - Semi automatic 20ft container launcher,,ASAP,,"""""",,
