MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
GENERIC_TURBIDITY SENSOR;TURBIDITY;;TURBIDITY SENSOR;TURBIDITY_SENSOR
GENERIC_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GENERIC_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
GENERIC_WAVE RECORDER;WAVESD;;WAVE RECORDER;WAVE_DIRECTION_RECORDER
GENERIC_WINDSENSOR;WS;WD;;WINDSENSOR;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
GILL_MAXIMET MARINE GMX260 - with GPS;LAT;LON;AIRTEMP;WD;HUM;WS;ATMPRESS;;MAXIMET MARINE GMX260 - with GPS;GPS_LAT;GPS_LON;AIR_THERMOMETER;ANEMOMETER_SONIC_WD;HYGROMETER_ELECTRONIC;ANEMOMETER_SONIC_WS;BAROMETER_ELECTRIC
GILL_METPACK;WD;WS;;METPACK;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_METPAKII;AIRTEMP;WD;WS;ATMPRESS;;METPAKII;THERMOMETER_ELECTRIC;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS;BAROMETER_ELECTRIC
GILL_METPAK PRO;AIRTEMP;WD;HUM;WS;ATMPRESS;;METPAK PRO;THERMOMETER_ELECTRIC;ANEMOMETER_SONIC_WD;HYGROMETER_ELECTRONIC;ANEMOMETER_SONIC_WS;BAROMETER_ELECTRIC
GILL_SONIC_ANEMOMETER;WD;WS;;SONIC_ANEMOMETER;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_WINDOBSERVER;WD;WS;;WINDOBSERVER;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_WINDOBSERVER II;WD;WS;;WINDOBSERVER II;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_WINDOBSERVER IS;WD;WS;;WINDOBSERVER IS;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_WINDSONIC;WD;WS;;WINDSONIC;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GILL_WINDSONIC WS2;WD;WS;;WINDSONIC WS2;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
HANSEATIC_180;ATMPRESS;;180;BAROMETER_ANEROID_HAND
HANSEATIC_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
HANSGER_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
HANSHIN ELECTRONICS_HAA-1600;WD;WS;;HAA-1600;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
HANSHIN ELECTRONICS_HWD-110;WD;WS;;HWD-110;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
HANSHIN ELECTRONICS_HWD-300A;WD;WS;;HWD-300A;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
HEITRONICS_CT15;SST;;CT15;SST_RADIATION_THERMOMETER
HERIANA_ANEMOMETER;WS;WD;;ANEMOMETER;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
HERIANA_AT-130;WD;WS;;AT-130;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
HERIANA_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
HERIANA_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
HERIANA_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
HERIANA_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
HERIANA_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
HERIANA_WINDSENSOR;WS;WD;;WINDSENSOR;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
HIM_1438;WS;;1438;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
HISAMATSU_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
HISAMATSU_TN-6;ATMPRESS;;TN-6;BAROMETER_ANEROID_HAND
HISAMATSU_TN-9A II;ATMPRESS;;TN-9A II;BAROMETER_ANEROID_HAND
HONEYWELL_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
HONEYWELL_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
HONEYWELL_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
HONGXING_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
HY-NIGO_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
HY-NIGO_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
HYUNDAI_H1385-90;WD;WS;;H1385-90;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
IMD_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
IMD_BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_GENERIC
IMD_MERCURY BAROMETER;ATMPRESS;;MERCURY BAROMETER;BAROMETER_MERCURY
IMD_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
INCOTERM_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
ISUZU_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
ISUZU_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
ITAMI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
IVER C. WEILBACH AND CO_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
JAEGER_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
JDC INSTRUMENTS_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
JIAN YIN_EY-11B;WS;;EY-11B;ANEMOMETER_WS_GENERIC
JRM_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
JULES RICHARD_PROPELLER WINDSENSOR;WS;;PROPELLER WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WS
JUNLU_AMC728;WD;WS;;AMC728;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
KAWE_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
KELVIN HUGHES_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
KING LIFE ELECTRONICS_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
KING LIFE ELECTRONICS_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
KOLLSMAN_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
KOMATSU LTD_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
KONGSBERG_HMS 100;ATMPRESS;;HMS 100;BAROMETER_ELECTRIC
KOSHIN DENKI_07-260;WD;Koshin Denki (5682);07-260;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
KOSHIN DENKI_07-262;WS;Koshin Denki (5682);07-262;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
KOSHIN DENKI_ANEROID HAND BAROMETER;ATMPRESS;Koshin Denki (5682);ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
KOSHIN DENKI_CUP WINDSENSOR;WS;Koshin Denki (5682);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
KOSHIN DENKI_ELECTRIC BAROMETER;ATMPRESS;Koshin Denki (5682);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
KOSHIN DENKI_KA-101;WD;WS;Koshin Denki (5682);KA-101;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
KOSHIN DENKI_KB-101;WD;WS;Koshin Denki (5682);KB-101;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
KOSHIN DENKI_KE-500;WD;WS;Koshin Denki (5682);KE-500;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
KOSHIN DENKI_KVS-400-J;WD;WS;Koshin Denki (5682);KVS-400-J;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
KOSHIN DENKI_PROPELLER VANE WINDSENSOR;WD;WS;Koshin Denki (5682);PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
KOSHIN DENKI_R005-341;AIRTEMP;Koshin Denki (5682);R005-341;THERMOMETER_ELECTRIC
KOSHIN DENKI_RS-N1-0;AIRTEMP;Koshin Denki (5682);RS-N1-0;THERMOMETER_ELECTRIC
KOSHIN DENKI_VANE WINDSENSOR;WD;Koshin Denki (5682);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
KOSHIN DENKI_WINDSENSOR;WS;WD;Koshin Denki (5682);WINDSENSOR;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
KSB KOREA_5218;AIRTEMP;;5218;THERMOMETER_MERCURY_DRY_BULB
KSB KOREA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
KSB KOREA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
KT MARINE_CONO2;WD;WS;;CONO2;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
KT MARINE_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
KT MARINE_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
KT MARINE_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
KUKDONG_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
LACROSSE TECHNOLOGY_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ELECTRIC
LACROSSE TECHNOLOGY_WS-9057;ATMPRESS;;WS-9057;BAROMETER_ELECTRIC
LAMBRECHT_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
LAMBRECHT_ARCO-NAV;WD;WS;;ARCO-NAV;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LAMBRECHT_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LAMBRECHT_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
LAMBRECHT_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
LAMBRECHT_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
LAMBRECHT_LB-14513;WD;WS;;LB-14513;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LAMBRECHT_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
LAMBRECHT_QUATRO MET 1642;WD;WS;;QUATRO MET 1642;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
LAMBRECHT_THP PRO;ATMPRESS;;THP PRO;BAROMETER_ELECTRIC
LAMBRECHT_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
LAMBRECHT_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
LAMBRECHT_WENTO-IND;AIRTEMP;WD;WS;;WENTO-IND;THERMOMETER_ELECTRIC;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LAMBRECHT_WENTO-MET;AIRTEMP;;WENTO-MET;THERMOMETER_ELECTRIC
LAMBRECHT_WENTO MET 14516;WD;WS;;WENTO MET 14516;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LAURA SUARDI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
LCJ CAPTEURS_CV3F;WD;WS;;CV3F;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
LILLEY AND GILLIE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
LILLEY AND GILLIE_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
LILLEY AND GILLIE_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
LILLEY AND GILLIE_F0944;AIRTEMP;;F0944;THERMOMETER_ALCOHOL
LILLEY AND GILLIE_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
LILLEY AND GILLIE_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
LILLEY AND GILLIE_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
LILLEY AND GILLIE_WINDSENSOR;WS;WD;;WINDSENSOR;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
LILLEY AND GILLIE_WLAKER P292;WD;WS;;WLAKER P292;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
LUFFT_2207 SH;ATMPRESS;;2207 SH;BAROMETER_ANEROID_HAND
LUFFT_VENTUS;WD;WS;;VENTUS;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
MARINE SERVICES CANADA_TYPE B;ATMPRESS;;TYPE B;BAROMETER_ANEROID_HAND
MASONS_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
MAXIMUM WEATHER INSTRUMENTS_PROTEUS;ATMPRESS;;PROTEUS;BAROMETER_ANEROID_HAND
MC_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
MECHANISM_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
MECHANISM LTD_ANEROID DIGITAL BAROMETER;ATMPRESS;;ANEROID DIGITAL BAROMETER;BAROMETER_ANEROID_DIGITAL
MECHANISM LTD_MK I;ATMPRESS;;MK I;BAROMETER_ANEROID_DIGITAL
MECHANISM LTD_MK II;ATMPRESS;;MK II;BAROMETER_ANEROID_DIGITAL
METEO FRANCE_FLEXIBLE PT100 GLUED;SST;Meteo France (1521);FLEXIBLE PT100 GLUED;SST_HULL_CONTACT_SENSOR
METEO FRANCE_FLEXIBLE PT100 MAGNETS;SST;Meteo France (1521);FLEXIBLE PT100 MAGNETS;SST_HULL_CONTACT_SENSOR
MINTAKA_DUO;ATMPRESS;;DUO;BAROMETER_ELECTRIC
MINTAKA_STAR;ATMPRESS;;STAR;BAROMETER_ELECTRIC
MINTAKA_STARX;AIRTEMP;ATMPRESS;;STARX;THERMOMETER_ELECTRIC;BAROMETER_ELECTRIC
MINTAKA_STARXG;AIRTEMP;ATMPRESS;;STARXG;THERMOMETER_ELECTRIC;BAROMETER_ELECTRIC
MUNRO_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
MUNRO_CUP WINDSENSOR;WD;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
MUNRO_SO/8;WD;WS;;SO/8;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
MURAYAMA DENKI_3100Z;AIRTEMP;;3100Z;THERMOMETER_ELECTRIC
NAUDET_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
NAUDET_BAROMETER_ANEROID_DIGITAL;ATMPRESS;;BAROMETER_ANEROID_DIGITAL;BAROMETER_ANEROID_DIGITAL
NAVAL WEATHER SERVICE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
NEGRETTI AND ZAMBRA_ANEROID DIGITAL BAROMETER;ATMPRESS;;ANEROID DIGITAL BAROMETER;BAROMETER_ANEROID_DIGITAL
NEGRETTI AND ZAMBRA_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_DIGITAL
NEGRETTI AND ZAMBRA_MK 3;ATMPRESS;;MK 3;BAROMETER_ANEROID_DIGITAL
NEGRETTI AND ZAMBRA_MK I;ATMPRESS;;MK I;BAROMETER_ANEROID_DIGITAL
NEGRETTI AND ZAMBRA_MK II;ATMPRESS;;MK II;BAROMETER_ANEROID_DIGITAL
NIKKEI_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
NIKKEI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
NIMBUS_MMTS;AIRTEMP;;MMTS;THERMOMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT_A15;WD;WS;;A15;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
NIPPON_ELECTRIC_INSTRUMENT_ANEMOMETER;WD;;ELECTRIC_INSTRUMENT_ANEMOMETER;ANEMOMETER_WD_GENERIC
NIPPON ELECTRIC INSTRUMENT_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
NIPPON ELECTRIC INSTRUMENT_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
NIPPON ELECTRIC INSTRUMENT_E110;WD;WS;;E110;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT INC_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
NIPPON ELECTRIC INSTRUMENT INC_AT801-B;ATMPRESS;;AT801-B;BAROMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_N270;ATMPRESS;;N270;BAROMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_N59-E;AIRTEMP;;N59-E;THERMOMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_N-64;AIRTEMP;;N-64;THERMOMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT INC_TS-301C;AIRTEMP;;TS-301C;THERMOMETER_ELECTRIC
NIPPON ELECTRIC INSTRUMENT_N162A;WD;WS;;N162A;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT_N162D;WD;WS;;N162D;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT_N363D;WD;WS;;N363D;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT_N53;WD;WS;;N53;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT_NP319A;WD;WS;;NP319A;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
NIPPON ELECTRIC INSTRUMENT_NP434;WD;WS;;NP434;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
NIPPON ELECTRIC INSTRUMENT_NP890;WD;WS;;NP890;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON ELECTRIC INSTRUMENT_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NIPPON_ELECTRIC_INSTRUMENT_THERMOMETER;AIRTEMP;;ELECTRIC_INSTRUMENT_THERMOMETER;THERMOMETER_GENERIC
NIPPON ELECTRIC INSTRUMENT_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
NIPPON ELECTRIC INSTRUMENT_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
NIPPON ELECTRIC INSTRUMENT_WINDSENSOR;WS;WD;;WINDSENSOR;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
NISSAN_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NKE_ELECTRIC BAROMETER;ATMPRESS;NKE Instrumentation (4960);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
NKE_SP2T;SST;NKE Instrumentation (4960);SP2T;SST_GENERIC
NKE_SP2T1200;SUB_PRESS;SUB_T;NKE Instrumentation (4960);SP2T1200;CTD_PRES;CTD_TEMP
NKE_SP2T300;SUB_PRESS;SUB_T;NKE Instrumentation (4960);SP2T300;CTD_PRES;CTD_TEMP
NKE_SP2T600;SUB_PRESS;SUB_T;NKE Instrumentation (4960);SP2T600;CTD_PRES;CTD_TEMP
NKE_WiSensCTD_300;SUB_PRESS;SUB_SAL;SUB_T;NKE Instrumentation (4960);WiSensCTD_300;CTD_PRES;CTD_CNDC;CTD_TEMP
NKE_WiSensTD_500;SUB_PRESS;SUB_T;NKE Instrumentation (4960);WiSensTD_500;CTD_PRES;CTD_TEMP
NKW_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
NURNBERG_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
NURNBERG_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
OBSERVATOR_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
OBSERVATOR_OMC116;WD;WS;;OMC116;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
OBSERVATOR_OMC-150;WD;WS;;OMC-150;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
OBSERVATOR_OMC-160;WD;WS;;OMC-160;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
OBSERVATOR_OMC-406;AIRTEMP;;OMC-406;THERMOMETER_ELECTRIC
OBSERVATOR_OMC-442;AIRTEMP;;OMC-442;THERMOMETER_ELECTRIC
OBSERVATOR_OMC-443;AIRTEMP;;OMC-443;THERMOMETER_ELECTRIC
OBSERVATOR_OMC-506;ATMPRESS;;OMC-506;BAROMETER_ELECTRIC
OBSERVATOR_OMC-842;AIRTEMP;ATMPRESS;;OMC-842;THERMOMETER_ELECTRIC;BAROMETER_ELECTRIC
OBSERVATOR_OMC-942;AIRTEMP;;OMC-942;THERMOMETER_ELECTRIC
OGASAWARA_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
OGASAWARA_BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_GENERIC
OGASAWARA_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
OGASAWARA_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
OGASAWARA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
