MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
BRANNAN_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
BRANNAN_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
BROOKS AND GATEHOUSE_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
CAMPBELL SCIENTIFIC_METSENS200;WD;WS;CAMPBELL SCIENTIFIC INC (3768);METSENS200;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
CASSENS AND PLATH_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CHANGCHUN_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CHANGCHUN_DYM3;ATMPRESS;;DYM3;BAROMETER_ANEROID_HAND
CHANGE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CHANGZHOU CAMON_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
CHANGZHOU CAMON_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CHANGZHOU CAMON_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
CHAUVIN ARNOUX_CUP WINDSENSOR;WD;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
CHAUVIN ARNOUX_PT100;SST;;PT100;SST_IMMERSED_THERMOMETER
CHAUVIN ARNOUX_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
CHELSEA_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CITIZEN_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
CMR KOREA_AT200;WD;WS;;AT200;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
CMR KOREA_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
CMR KOREA_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
CMR KOREA_WINDSONIC;WD;WS;;WINDSONIC;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
COASTAL CLIMATE_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
COASTAL CLIMATE_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
COASTAL ENVIRONMENTAL SYSTEMS_CUP WINDSENSOR;WS;Coastal Environmental Systems (3529);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
COASTAL ENVIRONMENTAL SYSTEMS_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;Coastal Environmental Systems (3529);ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
COASTAL ENVIRONMENTAL SYSTEMS_ELECTRIC BAROMETER;ATMPRESS;Coastal Environmental Systems (3529);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
COASTAL ENVIRONMENTAL SYSTEMS_ULTRASONIC WINDSENSOR;WD;WS;Coastal Environmental Systems (3529);ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
COASTAL ENVIRONMENTAL SYSTEMS_VANE WINDSENSOR;WD;Coastal Environmental Systems (3529);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
COREMA_CRT00012;SST;;CRT00012;SST_HULL_CONTACT_SENSOR
CUP VANE_N162A;WD;WS;;N162A;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
DAEKWANG_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
DAEYANG_ANEMOMETER;WD;;ANEMOMETER;ANEMOMETER_WD_GENERIC
DAEYANG INSTRUMENT_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
DAEYANG INSTRUMENT COMPANY_AT-350;WD;WS;;AT-350;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
DAEYANG INSTRUMENT COMPANY_AT-3N;WD;WS;;AT-3N;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
DAEYANG INSTRUMENT COMPANY_AT-US;WD;WS;;AT-US;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
DAEYANG INSTRUMENT COMPANY_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
DAEYANG INSTRUMENT COMPANY_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
DAEYANG INSTRUMENT COMPANY_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
DAEYANG INSTRUMENT COMPANY_PTR ALCOHOL11;AIRTEMP;;PTR ALCOHOL11;THERMOMETER_ELECTRIC
DAEYANG INSTRUMENT COMPANY_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
DAEYANG INSTRUMENT COMPANY_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
DAEYANG INSTRUMENT_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
DAIKO_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
DAIKO_DB-150;ATMPRESS;;DB-150;BAROMETER_ANEROID_HAND
DATEMA_106PMD;ATMPRESS;;106PMD;BAROMETER_ANEROID_HAND
DAVIS INSTRUMENTS_TURBOMETER;WS;;TURBOMETER;ANEMOMETER_PROPELLER_VANE_WS
DAVIS_VANTAGE PRO2;AIRTEMP;ATMPRESS;;VANTAGE PRO2;THERMOMETER_ELECTRIC;BAROMETER_ELECTRIC
DEIF_879.3B;WD;WS;;879.3B;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
DEIF_879.3C;WD;WS;;879.3C;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
DEIF_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
DEIF_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
DEIF_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
DEIF_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
DEIF_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
DEIF_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
DEIF_WSS 550;WD;WS;;WSS 550;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
DEUTA_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
DOBBIE_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
DOBBIE_M3740;AIRTEMP;;M3740;THERMOMETER_MERCURY_DRY_BULB
DOBBIE_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
DOBROS_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
DONG MYOUNG_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
DONG MYOUNG_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
DOWNEASTER WIND and WEATHER_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
DRUCK_8100;ATMPRESS;;8100;BAROMETER_ELECTRIC
DRUCK_DPS8000 series 811A;ATMPRESS;;DPS8000 series 811A;BAROMETER_ELECTRIC
